,time,consumption,temperature,hour,day_of_week,load_t-24h,temperature_t-24h,load_t-25h,temperature_t-25h,load_t-26h,temperature_t-26h,load_t-48h,temperature_t-48h,load_t-49h,temperature_t-49h,load_t-50h,temperature_t-50h,load_t-72h,temperature_t-72h,original_location,location_bergen,location_helsingfors,location_oslo,location_stavanger,location_tromsø,location_trondheim
24432,2022-10-10 21:00:00,1.72515,7.300000190734863,21,0,1.572001,11.0,1.680324,10.600000381469728,1.736016,11.5,1.386223,6.699999809265137,1.523212,5.800000190734863,1.624963,6.0,1.305851,7.699999809265137,bergen,1,0,0,0,0,0
24438,2022-10-10 22:00:00,1.610548,7.300000190734863,22,0,1.39671,11.800000190734863,1.572001,11.0,1.680324,10.600000381469728,1.23632,7.300000190734863,1.386223,6.699999809265137,1.523212,5.800000190734863,1.229232,6.800000190734863,bergen,1,0,0,0,0,0
24444,2022-10-10 23:00:00,1.529537,7.099999904632568,23,0,1.24069,11.899999618530272,1.39671,11.800000190734863,1.572001,11.0,1.1380260000000002,7.300000190734863,1.23632,7.300000190734863,1.386223,6.699999809265137,1.142077,6.900000095367432,bergen,1,0,0,0,0,0
24516,2022-10-11 11:00:00,1.55201,9.600000381469728,11,1,1.542598,11.699999809265137,1.477041,11.100000381469728,1.393995,10.100000381469728,1.354383,11.600000381469728,1.328905,10.899999618530272,1.307522,10.600000381469728,1.048269,9.100000381469728,bergen,1,0,0,0,0,0
24522,2022-10-11 12:00:00,1.593508,10.199999809265137,12,1,1.603558,10.899999618530272,1.542598,11.699999809265137,1.477041,11.100000381469728,1.4155859999999998,12.399999618530272,1.354383,11.600000381469728,1.328905,10.899999618530272,1.1341740000000002,9.699999809265137,bergen,1,0,0,0,0,0
24528,2022-10-11 13:00:00,1.719445,10.0,13,1,1.7888430000000002,11.0,1.603558,10.899999618530272,1.542598,11.699999809265137,1.5493050000000002,13.0,1.4155859999999998,12.399999618530272,1.354383,11.600000381469728,1.277712,10.600000381469728,bergen,1,0,0,0,0,0
24534,2022-10-11 14:00:00,1.899474,9.399999618530272,14,1,1.988766,10.100000381469728,1.7888430000000002,11.0,1.603558,10.899999618530272,1.7565890000000002,13.0,1.5493050000000002,13.0,1.4155859999999998,12.399999618530272,1.476709,10.100000381469728,bergen,1,0,0,0,0,0
24540,2022-10-11 15:00:00,1.953621,8.699999809265137,15,1,2.033535,9.199999809265137,1.988766,10.100000381469728,1.7888430000000002,11.0,1.738944,12.399999618530272,1.7565890000000002,13.0,1.5493050000000002,13.0,1.499304,9.5,bergen,1,0,0,0,0,0
24546,2022-10-11 16:00:00,1.957386,7.800000190734863,16,1,1.989204,9.199999809265137,2.033535,9.199999809265137,1.988766,10.100000381469728,1.741896,11.899999618530272,1.738944,12.399999618530272,1.7565890000000002,13.0,1.4692920000000005,9.100000381469728,bergen,1,0,0,0,0,0
24552,2022-10-11 17:00:00,2.025905,7.300000190734863,17,1,2.06501,8.5,1.989204,9.199999809265137,2.033535,9.199999809265137,1.7385560000000002,11.699999809265137,1.741896,11.899999618530272,1.738944,12.399999618530272,1.558902,7.699999809265137,bergen,1,0,0,0,0,0
